cell,bandwidth,split,metric,value
T0-WB-OFFICIAL,wb,val_rank,bandwidth,wb
T0-WB-OFFICIAL,wb,val_rank,reference_bandwidth,wb
T0-WB-OFFICIAL,wb,val_rank,sample_rate,16000
T0-WB-OFFICIAL,wb,val_rank,pesq_mode,wb
T0-WB-OFFICIAL,wb,val_rank,count,128
T0-WB-OFFICIAL,wb,val_rank,pesq_count,128
T0-WB-OFFICIAL,wb,val_rank,stoi_count,128
T0-WB-OFFICIAL,wb,val_rank,sisdr_count,128
T0-WB-OFFICIAL,wb,val_rank,delta_snr_count,128
T0-WB-OFFICIAL,wb,val_rank,composite_count,0
T0-WB-OFFICIAL,wb,val_rank,dnsmos_count,0
T0-WB-OFFICIAL,wb,val_rank,pesq_mean,2.7947232043370605
T0-WB-OFFICIAL,wb,val_rank,stoi_mean,0.8691608795726407
T0-WB-OFFICIAL,wb,val_rank,sisdr_mean,5.527318000793457
T0-WB-OFFICIAL,wb,val_rank,delta_snr_mean,-0.17909167088770928
T0-WB-OFFICIAL,wb,val_select,bandwidth,wb
T0-WB-OFFICIAL,wb,val_select,reference_bandwidth,wb
T0-WB-OFFICIAL,wb,val_select,sample_rate,16000
T0-WB-OFFICIAL,wb,val_select,pesq_mode,wb
T0-WB-OFFICIAL,wb,val_select,count,1690
T0-WB-OFFICIAL,wb,val_select,pesq_count,1690
T0-WB-OFFICIAL,wb,val_select,stoi_count,1690
T0-WB-OFFICIAL,wb,val_select,sisdr_count,1690
T0-WB-OFFICIAL,wb,val_select,delta_snr_count,1690
T0-WB-OFFICIAL,wb,val_select,composite_count,0
T0-WB-OFFICIAL,wb,val_select,dnsmos_count,0
T0-WB-OFFICIAL,wb,val_select,pesq_mean,2.78534963920977
T0-WB-OFFICIAL,wb,val_select,stoi_mean,0.8684378895159265
T0-WB-OFFICIAL,wb,val_select,sisdr_mean,5.414770603179932
T0-WB-OFFICIAL,wb,val_select,delta_snr_mean,-0.5480287125035925
T0-WB-OFFICIAL,wb,test,bandwidth,wb
T0-WB-OFFICIAL,wb,test,reference_bandwidth,wb
T0-WB-OFFICIAL,wb,test,sample_rate,16000
T0-WB-OFFICIAL,wb,test,pesq_mode,wb
T0-WB-OFFICIAL,wb,test,count,824
T0-WB-OFFICIAL,wb,test,pesq_count,824
T0-WB-OFFICIAL,wb,test,stoi_count,824
T0-WB-OFFICIAL,wb,test,sisdr_count,824
T0-WB-OFFICIAL,wb,test,delta_snr_count,824
T0-WB-OFFICIAL,wb,test,composite_count,0
T0-WB-OFFICIAL,wb,test,dnsmos_count,0
T0-WB-OFFICIAL,wb,test,pesq_mean,3.130947551970343
T0-WB-OFFICIAL,wb,test,stoi_mean,0.9318960633010356
T0-WB-OFFICIAL,wb,test,sisdr_mean,8.579134941101074
T0-WB-OFFICIAL,wb,test,delta_snr_mean,-0.7973949616197116
S0-WB,wb,val_rank,bandwidth,wb
S0-WB,wb,val_rank,reference_bandwidth,wb
S0-WB,wb,val_rank,sample_rate,16000
S0-WB,wb,val_rank,pesq_mode,wb
S0-WB,wb,val_rank,count,128
S0-WB,wb,val_rank,pesq_count,128
S0-WB,wb,val_rank,stoi_count,128
S0-WB,wb,val_rank,sisdr_count,128
S0-WB,wb,val_rank,delta_snr_count,128
S0-WB,wb,val_rank,composite_count,0
S0-WB,wb,val_rank,dnsmos_count,0
S0-WB,wb,val_rank,pesq_mean,2.5982251474633813
S0-WB,wb,val_rank,stoi_mean,0.8569206394680162
S0-WB,wb,val_rank,sisdr_mean,5.65305233001709
S0-WB,wb,val_rank,delta_snr_mean,0.23865522173585943
S0-WB,wb,val_select,bandwidth,wb
S0-WB,wb,val_select,reference_bandwidth,wb
S0-WB,wb,val_select,sample_rate,16000
S0-WB,wb,val_select,pesq_mode,wb
S0-WB,wb,val_select,count,1690
S0-WB,wb,val_select,pesq_count,1690
S0-WB,wb,val_select,stoi_count,1690
S0-WB,wb,val_select,sisdr_count,1690
S0-WB,wb,val_select,delta_snr_count,1690
S0-WB,wb,val_select,composite_count,0
S0-WB,wb,val_select,dnsmos_count,0
S0-WB,wb,val_select,pesq_mean,2.6031635934079187
S0-WB,wb,val_select,stoi_mean,0.854977391793164
S0-WB,wb,val_select,sisdr_mean,5.534107208251953
S0-WB,wb,val_select,delta_snr_mean,-0.15378997420018012
S0-WB,wb,test,bandwidth,wb
S0-WB,wb,test,reference_bandwidth,wb
